"Parameter","Class","Value","Value class","Image Value","Value Class Image","Class Name","Parameter Name",
"a7cd6d6a","0a63d08b","$n-1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n-1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Addressing","Star number",
"0cd330f8","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Teaching Dimension",
"a7cd6d6a","75fb5a45","$n-1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n-1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Tagged Singletons","Star number",
"a7cd6d6a","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Star number",
"a7cd6d6a","33b7931e","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons plus empty set","Star number",
"a7cd6d6a","4716b4fd","$n-1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n-1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Star number",
"a7cd6d6a","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Star number",
"797018d0","0a63d08b","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Addressing","co-VC dimension",
"797018d0","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","co-VC dimension",
"797018d0","180d6d50","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Half-intervals","co-VC dimension",
"797018d0","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","co-VC dimension",
"797018d0","33b7931e","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","co-VC dimension",
"797018d0","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","co-VC dimension",
"797018d0","2616bf7f","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","co-VC dimension",
"20d65b4d","0a63d08b","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Addressing","Largest Strongly Shattered Set",
"20d65b4d","180d6d50","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Half-intervals","Largest Strongly Shattered Set",
"a7cd6d6a","180d6d50","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Half-intervals","Star number",
"468888a4","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Monotone Recursive Teaching Dimension",
"f6196a91","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Minimum Teaching Set Size",
"25081cc4","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Membership and Equivalence Queries Complexity",
"153f0f8b","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","Oriented Diameter",
"153f0f8b","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Oriented Diameter",
"d65b1577","75fb5a45","$\left\lceil\frac{n}{2}\right\rceil$","$\Omega(n)$","https://latex.codecogs.com/png.latex?%5Cleft%5Clceil%5Cfrac%7Bn%7D%7B2%7D%5Cright%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Tagged Singletons","Maximum Degree",
"d65b1577","0a63d08b","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Addressing","Maximum Degree",
"d65b1577","1a118b92","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Majority","Maximum Degree",
"d65b1577","180d6d50","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Half-intervals","Maximum Degree",
"d65b1577","33b7931e","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons plus empty set","Maximum Degree",
"d65b1577","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Maximum Degree",
"d65b1577","4716b4fd","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Maximum Degree",
"d65b1577","2616bf7f","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Maximum Degree",
"5f7dc155","4716b4fd","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Singletons","Log Shattering",
"23db588b","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Order Sample Compression",
"c5c8d306","4716b4fd","$n-1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n-1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Proper Ordered Sample Compression",
"ef387d04","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Effective VC Radius",
"e671ee81","4716b4fd","$n-1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n-1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Yang dimension",
"f8f68517","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Partial Equivalence Queries Complexity",
"25081cc4","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Membership and Equivalence Queries Complexity",
"f6196a91","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Minimum Teaching Set Size",
"468888a4","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Monotone Recursive Teaching Dimension",
"0cd330f8","4716b4fd","$1$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Singletons","Teaching Dimension",
"ec9a579a","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Membership and Proper Equivalence Queries Complexity",
"677c5d54","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Projected Membership Queries Complexity",
"50a9f180","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Membership Query Complexity",
"23db588b","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Order Sample Compression",
"c5c8d306","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Proper Ordered Sample Compression",
"dcab7b9c","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Projected VC Radius",
"ef387d04","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Effective VC Radius",
"e671ee81","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Yang dimension",
"f8f68517","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Partial Equivalence Queries Complexity",
"20d65b4d","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Largest Strongly Shattered Set",
"20d65b4d","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","Largest Strongly Shattered Set",
"20d65b4d","4716b4fd","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Largest Strongly Shattered Set",
"20d65b4d","2616bf7f","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Largest Strongly Shattered Set",
"153f0f88","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Threshold Dimension",
"153f0f8a","0a63d08b","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Addressing","Size",
"153f0f8a","1a118b92","$2^n$","$\Omega(2^n)$","https://latex.codecogs.com/png.latex?2%5En","https://latex.codecogs.com/png.latex?%5COmega%282%5En%29","Majority","Size",
"153f0f8a","75fb5a45","$n+\lceil\log n\rceil +1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n%2B%5Clceil%5Clog%20n%5Crceil%20%2B1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Tagged Singletons","Size",
"153f0f8a","180d6d50","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Half-intervals","Size",
"153f0f8a","33b7931e","$n+1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n%2B1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons plus empty set","Size",
"153f0f8a","a6e947c1","$2^n$","$\Omega(2^n)$","https://latex.codecogs.com/png.latex?2%5En","https://latex.codecogs.com/png.latex?%5COmega%282%5En%29","Full Cube","Size",
"153f0f8a","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Size",
"153f0f87","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Path Dimension",
"153f0f88","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Threshold Dimension",
"153f0f8d","2616bf7f","$\left\lceil \frac{n}{2}\right\rceil$","$\Omega(n)$","https://latex.codecogs.com/png.latex?%5Cleft%5Clceil%20%5Cfrac%7Bn%7D%7B2%7D%5Cright%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Trivial concepts","Hamming Radius",
"153f0f8c","2616bf7f","$\left\lceil \frac{n}{2}\right\rceil$","$\Omega(n)$","https://latex.codecogs.com/png.latex?%5Cleft%5Clceil%20%5Cfrac%7Bn%7D%7B2%7D%5Cright%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Trivial concepts","Diameter",
"153f0f8b","2616bf7f","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Trivial concepts","Oriented Diameter",
"153f0f8a","2616bf7f","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Size",
"f88df4d0","75fb5a45","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","VC Dimension",
"153f0f8d","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Hamming Radius",
"153f0f8c","75fb5a45","$4$","$\Omega(1)$","https://latex.codecogs.com/png.latex?4","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Diameter",
"153f0f8b","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Oriented Diameter",
"153f0f89","75fb5a45","$n+\lceil \log n \rceil$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n%2B%5Clceil%20%5Clog%20n%20%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Tagged Singletons","Effective Range",
"153f0f89","0a63d08b","$n+\lceil \log n\rceil$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n%2B%5Clceil%20%5Clog%20n%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Addressing","Effective Range",
"153f0f89","1a118b92","$n+1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n%2B1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Majority","Effective Range",
"153f0f89","180d6d50","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Half-intervals","Effective Range",
"153f0f89","33b7931e","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons plus empty set","Effective Range",
"153f0f89","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Effective Range",
"f88df4d0","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","VC Dimension",
"f88df4d0","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","VC Dimension",
"f88df4d0","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","VC Dimension",
"f88df4d0","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","VC Dimension",
"153f0f89","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Effective Range",
"153f0f88","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Threshold Dimension",
"153f0f8b","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Oriented Diameter",
"153f0f88","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","Threshold Dimension",
"153f0f88","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Threshold Dimension",
"f88df4d0","0a63d08b","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Addressing","VC Dimension",
"ac3ab35f","0a63d08b","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Addressing","Littlestone Dimension",
"ac3ab35f","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Littlestone Dimension",
"ac3ab35f","180d6d50","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Half-intervals","Littlestone Dimension",
"ac3ab35f","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Littlestone Dimension",
"ac3ab35f","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","Littlestone Dimension",
"ac3ab35f","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Littlestone Dimension",
"ac3ab35f","2616bf7f","$1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Trivial concepts","Littlestone Dimension",
"8afe19fe","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Proper Equivalence Queries Complexity",
"8afe19fe","0a63d08b","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Addressing","Proper Equivalence Queries Complexity",
"8afe19fe","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Proper Equivalence Queries Complexity",
"8afe19fe","180d6d50","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Half-intervals","Proper Equivalence Queries Complexity",
"8afe19fe","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","Proper Equivalence Queries Complexity",
"8afe19fe","4716b4fd","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Singletons","Proper Equivalence Queries Complexity",
"8afe19fe","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Proper Equivalence Queries Complexity",
"8d32b955","a6e947c1","$\lceil n/2\rceil$","$\Omega(n)$","https://latex.codecogs.com/png.latex?%5Clceil%20n%2F2%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","No-Clashing Teaching Dimension",
"effb1f47","a6e947c1","$n/\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?n%2F%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Full Cube","Log Size Ratio",
"effb1f47","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Log Size Ratio",
"effb1f47","2616bf7f","$0$","$\Omega(1)$","https://latex.codecogs.com/png.latex?0","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Log Size Ratio",
"736f01b1","0a63d08b","$\Omega(\log n)$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Addressing","Log Size",
"736f01b1","1a118b92","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Majority","Log Size",
"736f01b1","75fb5a45","$\Omega(\log n)$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Tagged Singletons","Log Size",
"736f01b1","180d6d50","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Half-intervals","Log Size",
"736f01b1","33b7931e","$\log(n+1)$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%28n%2B1%29","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Singletons plus empty set","Log Size",
"736f01b1","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Log Size",
"736f01b1","4716b4fd","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Singletons","Log Size",
"736f01b1","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Log Size",
"153f0f88","0a63d08b","$\lceil \log n\rceil$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clceil%20%5Clog%20n%5Crceil","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Addressing","Threshold Dimension",
"153f0f88","1a118b92","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Majority","Threshold Dimension",
"153f0f88","180d6d50","$n-1$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n-1","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Half-intervals","Threshold Dimension",
"153f0f8b","180d6d50","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Half-intervals","Oriented Diameter",
